[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
[99 , 99 , 96 , 96 , 92 7 , 92 7 , 91 3 , 88 10 , 87 , 86 14 , 85 , 76 21 , 74 25 , 72 27 , 69 30 , 67 33 , 67 33 , 62 29 , 61 28 , 56 44 , 52 46 , 51 40 , 49 42 , 40 24 22 11 , 30 28 23 13 , 20 17 ]
