[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 , 91 , 88 10 , 87 13 , 86 14 , 85 11 , 76 23 , 74 25 , 72 28 , 69 30 , 67 33 , 67 27 , 62 33 , 61 30 , 56 42 , 52 46 , 51 40 7 , 49 44 , 40 28 22 , 29 24 17 , 21 20 ]
Solution size: 26
