[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
[99 , 99 , 96 3 , 96 , 92 7 , 92 7 , 91 , 88 10 , 87 , 86 , 85 13 , 76 24 , 74 14 , 72 28 , 69 29 , 67 33 , 67 33 , 62 25 11 , 61 30 , 56 44 , 52 42 , 51 49 , 46 40 , 40 30 28 , 27 23 21 20 , 22 17 ]
