[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
[100 13 7 , 97 16 , 96 18 5 , 92 28 , 89 30 , 88 27 , 88 32 , 87 31 , 83 37 , 75 40 , 75 40 , 72 36 10 2 , 71 47 , 70 46 4 , 69 27 24 , 66 10 10 8 , 63 50 , 62 58 , 62 14 , 61 12 , 60 26 ]
