[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
[100 18 2 , 97 14 8 , 96 24 , 92 28 , 89 31 , 88 27 5 , 88 12 , 87 32 , 83 36 , 75 27 16 , 75 40 , 72 47 , 71 46 , 70 40 10 , 69 50 , 66 30 13 10 , 63 7 , 62 37 4 , 62 58 , 61 10 , 60 26 ]
