[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
[100 45 5 , 100 37 6 5 , 96 54 , 94 51 , 90 57 3 , 88 62 , 87 62 , 85 62 1 , 83 61 3 , 81 59 7 , 80 59 , 80 45 22 , 77 40 29 , 74 65 , 38 37 37 29 , 36 27 21 14 8 17 , 26 22 14 ]
Solution size: 17
