[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
[99 49 , 99 43 7 , 97 53 , 97 52 1 , 96 54 , 96 53 , 96 48 6 , 94 56 , 93 55 2 , 93 57 , 92 52 4 2 , 90 54 5 , 90 58 , 90 47 12 1 , 89 59 , 88 49 13 , 88 62 , 87 44 18 , 83 67 , 82 67 , 81 66 , 81 69 , 81 69 , 80 46 21 , 79 71 , 78 68 , 77 45 24 , 77 42 31 , 76 74 , 76 74 , 75 74 , 43 39 37 21 7 , 42 34 32 29 11 , 38 35 31 30 16 , 35 24 21 9 7 5 20 , 32 4 ]
